,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
0,113049,487544,656393.0,121427.0,afval_cluster,113048.719|487543.976,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:3 m3', 'Papier:3 m3', 'Plastic:3 m3']",Osdorperweg,F80b,F80,F,0,1,1,1,0,3,False,0.0
1,113104,485015,944294.0,38974.0,afval_cluster,113103.780|485014.560,['Rest:2'],['Rest:8 m3'],Le Tourmalet,F84b,F84,F,2,0,0,0,0,2,True,0.0
2,113105,484894,908361.0,149012.0,afval_cluster,113105.048|484894.139,['Rest:2'],['Rest:8 m3'],Pyreneeën,F84b,F84,F,2,0,0,0,0,2,True,0.0
3,113141,485133,924129.0,33554.0,afval_cluster,113141.478|485133.325,"['Glas:1', 'Plastic:1']","['Glas:3 m3', 'Plastic:4 m3']",Simplon,F84b,F84,F,0,1,0,1,0,2,True,0.0
4,113176,485180,817990.0,108967.0,afval_cluster,113175.566|485179.983,['Rest:2'],['Rest:10 m3'],Ortler,F84b,F84,F,2,0,0,0,0,2,True,0.0
5,113192,484837,666132.0,63620.0,afval_cluster,113192.478|484837.346,['Rest:2'],['Rest:8 m3'],Pyreneeën,F84b,F84,F,2,0,0,0,0,2,True,0.0
6,113213,484941,851044.0,52.0,afval_cluster,113213.498|484941.461,['Rest:2'],['Rest:8 m3'],Le Tourmalet,F84b,F84,F,2,0,0,0,0,2,True,0.0
7,113304,485380,821649.0,56261.0,afval_cluster,113304.419|485380.335,['Rest:2'],['Rest:8 m3'],Mondlanestraat,F84a,F84,F,2,0,0,0,0,2,True,0.0
8,113306,484761,494002.0,56781.0,afval_cluster,113305.944|484761.246,['Rest:2'],['Rest:8 m3'],Monte Viso,F84b,F84,F,2,0,0,0,0,2,True,0.0
9,113336,485074,604221.0,63371.0,afval_cluster,113335.758|485074.057,['Rest:2'],['Rest:8 m3'],Ortler,F84b,F84,F,2,0,0,0,0,2,True,0.0
10,113343,485216,539843.0,44898.0,afval_cluster,113342.754|485215.511,"['Rest:2', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:8 m3', 'Glas:3 m3', 'Papier:5 m3', 'Plastic:4 m3']",Akersingel,F84b,F84,F,2,1,1,1,0,5,True,0.0
11,113357,484969,961608.0,15304.0,afval_cluster,113356.637|484969.360,['Rest:2'],['Rest:8 m3'],Adamello,F84b,F84,F,2,0,0,0,0,2,True,0.0
12,113399,485411,740867.0,35579.0,afval_cluster,113399.055|485410.843,['Rest:1'],['Rest:5 m3'],M. Gandhilaan,F84a,F84,F,1,0,0,0,0,1,True,0.0
13,113432,484931,645671.0,26497.0,afval_cluster,113432.147|484930.673,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:3 m3']",Brenner,F84b,F84,F,1,0,1,1,0,3,True,0.0
14,113437,485193,679668.0,57428.0,afval_cluster,113437.136|485193.385,['Rest:2'],['Rest:8 m3'],Anielewiczsingel,F84a,F84,F,2,0,0,0,0,2,True,0.0
15,113447,484691,667740.0,97500.0,afval_cluster,113447.145|484690.574,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:3 m3']",Fluessenlaan,F84b,F84,F,1,0,1,0,0,2,True,0.0
16,113470,484983,680692.0,108178.0,afval_cluster,113469.618|484983.079,['Rest:2'],['Rest:8 m3'],Ortler,F84b,F84,F,2,0,0,0,0,2,True,0.0
17,113486,485117,688278.0,131100.0,afval_cluster,113486.171|485117.122,['Textiel:1'],['Textiel:3 m3'],Akersingel,F84b,F84,F,0,0,0,0,1,1,True,0.0
18,113492,485548,845327.0,72769.0,afval_cluster,113491.888|485547.580,['Rest:2'],['Rest:8 m3'],Bonhoeffersingel,F84a,F84,F,2,0,0,0,0,2,True,0.0
19,113496,484746,920575.0,139651.0,afval_cluster,113496.029|484746.173,['Rest:1'],['Rest:5 m3'],Gileppehof,F84b,F84,F,1,0,0,0,0,1,True,0.0
20,113512,485330,637346.0,150262.0,afval_cluster,113512.037|485329.863,['Rest:3'],['Rest:13 m3'],M. Gandhilaan,F84a,F84,F,3,0,0,0,0,3,True,0.0
21,113516,484631,879230.0,33060.0,afval_cluster,113515.692|484631.464,['Rest:2'],['Rest:8 m3'],Pracanalaan,F84b,F84,F,2,0,0,0,0,2,True,0.0
22,113521,485095,727714.0,80704.0,afval_cluster,113520.958|485095.013,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:3 m3']",Akersingel,F84b,F84,F,1,0,1,0,0,2,True,0.0
23,113556,485505,789127.0,87296.0,afval_cluster,113556.243|485505.457,['Rest:2'],['Rest:8 m3'],Bonhoeffersingel,F84a,F84,F,2,0,0,0,0,2,True,0.0
24,113560,484838,664965.0,148133.0,afval_cluster,113559.654|484838.184,['Rest:3'],['Rest:13 m3'],Fluessenlaan,F84b,F84,F,3,0,0,0,0,3,True,0.0
25,113579,485291,948234.0,117129.0,afval_cluster,113579.348|485290.552,['Rest:2'],['Rest:8 m3'],M. Gandhilaan,F84a,F84,F,2,0,0,0,0,2,True,0.0
26,113584,485557,672286.0,53083.0,afval_cluster,113584.115|485556.591,['Rest:2'],['Rest:8 m3'],De Biezenhof,F83a,F83,F,2,0,0,0,0,2,True,0.0
27,113594,485750,877373.0,5017.0,afval_cluster,113594.266|485749.576,['Rest:5'],['Rest:21 m3'],Griendstraat,F83a,F83,F,5,0,0,0,0,5,True,0.0
28,113607,485472,962658.0,131550.0,afval_cluster,113606.635|485471.776,['Rest:2'],['Rest:8 m3'],Bonhoeffersingel,F84a,F84,F,2,0,0,0,0,2,True,0.0
29,113648,485637,659089.0,6780.0,afval_cluster,113648.455|485636.689,['Rest:2'],['Rest:10 m3'],Griendstraat,F83a,F83,F,2,0,0,0,0,2,True,0.0
30,113665,485421,953548.0,57695.0,afval_cluster,113665.363|485420.512,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:8 m3', 'Glas:3 m3', 'Papier:3 m3']",Bonhoeffersingel,F84a,F84,F,2,0,1,1,0,4,True,0.0
31,113687,484756,938497.0,33927.0,afval_cluster,113686.738|484756.378,['Rest:1'],['Rest:5 m3'],Lomondlaan,F84b,F84,F,1,0,0,0,0,1,True,0.0
32,113688,485562,951473.0,125089.0,afval_cluster,113687.742|485561.559,['Rest:2'],['Rest:10 m3'],Burgersweerhof,F83a,F83,F,2,0,0,0,0,2,True,0.0
33,113695,484970,931050.0,449.0,afval_cluster,113694.662|484969.570,['Rest:3'],['Rest:15 m3'],Ladogameerhof,F84b,F84,F,3,0,0,0,0,3,True,0.0
34,113700,485018,708043.0,24621.0,afval_cluster,113700.368|485018.453,['Rest:2'],['Rest:8 m3'],Willy La Croixstraat,F84a,F84,F,2,0,0,0,0,2,True,0.0
35,113713,484683,829542.0,45453.0,afval_cluster,113712.987|484683.448,['Rest:2'],['Rest:8 m3'],Iseoplantsoen,F84b,F84,F,2,0,0,0,0,2,True,0.0
36,113717,484814,962692.0,846.0,afval_cluster,113717.360|484813.697,['Rest:2'],['Rest:8 m3'],Vätternkade,F84b,F84,F,2,0,0,0,0,2,True,0.0
37,113729,485776,492301.0,92326.0,afval_cluster,113728.999|485775.732,"['Rest:2', 'Glas:1', 'Papier:1', 'Textiel:1']","['Rest:10 m3', 'Glas:3 m3', 'Papier:3 m3', 'Textiel:3 m3']",Groezestraat,F83a,F83,F,2,0,1,1,1,5,True,0.0
38,113731,485767,570829.0,14685.0,afval_cluster,113731.053|485766.884,['Plastic:1'],['Plastic:4 m3'],Groezestraat,F83a,F83,F,0,1,0,0,0,1,True,0.0
39,113733,485457,523962.0,46052.0,afval_cluster,113732.742|485457.313,['Rest:2'],['Rest:10 m3'],Rijssenburghof,F83a,F83,F,2,0,0,0,0,2,True,0.0
40,113737,484941,867174.0,75353.0,afval_cluster,113736.749|484941.367,"['Glas:1', 'Papier:1']","['Glas:3 m3', 'Papier:5 m3']",Ladogameerhof,F84b,F84,F,0,0,1,1,0,2,True,0.0
41,113741,484952,590295.0,5034.0,afval_cluster,113740.793|484951.713,['Plastic:1'],['Plastic:4 m3'],Ladogameerhof,F84b,F84,F,0,1,0,0,0,1,True,0.0
42,113769,484919,610960.0,54537.0,afval_cluster,113768.825|484918.957,['Rest:2'],['Rest:8 m3'],Ladogameerhof,F84b,F84,F,2,0,0,0,0,2,True,0.0
43,113785,485683,501783.0,79157.0,afval_cluster,113785.381|485683.201,['Rest:2'],['Rest:10 m3'],Hoogheemraadweg,F83a,F83,F,2,0,0,0,0,2,True,0.0
44,113791,485151,962800.0,28947.0,afval_cluster,113790.734|485150.916,['Rest:1'],['Rest:5 m3'],Trijn Hullemanlaan,F84a,F84,F,1,0,0,0,0,1,True,0.0
45,113804,485542,778212.0,37604.0,afval_cluster,113804.261|485542.373,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:10 m3', 'Glas:3 m3', 'Papier:3 m3']",Wierdestraat,F83a,F83,F,2,0,1,1,0,4,True,0.0
46,113808,484893,933815.0,71605.0,afval_cluster,113807.715|484893.040,"['Rest:2', 'Textiel:1']","['Rest:8 m3', 'Textiel:3 m3']",Ladogameerhof,F84b,F84,F,2,0,0,0,1,3,True,0.0
47,113810,484946,621923.0,115738.0,afval_cluster,113810.041|484945.517,['Rest:2'],['Rest:8 m3'],Ernst Cahnsingel,F84a,F84,F,2,0,0,0,0,2,True,0.0
48,113815,484683,847595.0,10207.0,afval_cluster,113814.528|484683.268,['Rest:2'],['Rest:8 m3'],Lomondlaan,F84b,F84,F,2,0,0,0,0,2,True,0.0
49,113823,485069,901239.0,45037.0,afval_cluster,113822.559|485069.237,['Rest:3'],['Rest:13 m3'],Eduard Hellendoornstraat,F84a,F84,F,3,0,0,0,0,3,True,0.0
